,Description,NDB_NO_tags
3535,1.0 cup soy sauce,"""16124"""
3536,2.0 whole orange juices,"""42270"""
3537,3.0 tablespoons brown sugar,"""19334"""
3538,4.0 whole cloves of garlic,"""11215"""
3539,1.0 tablespoon ginger,"""11216"""
3540,1.0 tablespoon white sesame seeds,"""12023"""
3541,4.0 whole salmon fillets,"""15238"""
3542,0.5 tablespoon wasabi powder,"""27064"""
3543,1.0 tablespoon mirin,"""02068"""
3544,1.0 tablespoon rice wine vinegar,"""04135"""
3545,1.0 teaspoon sugar,"""19335"""
3546,0.5 cup canola oil,"""04582"""
3547,1 teaspoon salt,"""02047"""
3548,1 teaspoon black pepper,"""02030"""
3549,2.0 whole english cucumbers,"""11205"""
3550,1.0 tablespoon soft butter,"""01145"""
3551,1.0 tablespoon flour,"""20581"""
3552,6.0 ounces milk,"""01077"""
3553,9.0 whole egg yolks,"""01125"""
3554,2.0 ounces stilton blue cheese crumbled,"""01004"""
3555,1.0 teaspoon mild mustard,"""02046"""
3556,1 teaspoon salt,"""02047"""
3557,1 teaspoon black pepper,"""02030"""
3558,1 teaspoon black pepper,"""02030"""
3559,8.0 ounces egg whites,"""01124"""
3560,1.0 teaspoon corn flour,"""20016"""
3561,1 pinch salt,"""02047"""
3562,2.0 cups celeriac into sticks,"""11141"""
3563,0.5 teaspoon mild mustard,"""02046"""
3564,3.0 tablespoons mayonnaise,"""42138"""
3565,1.0 pound ground beef,"""23572"""
3566,1.0 cup napa cabbage,"""11114"""
3567,0.25 cup scallions,"""11291"""
3568,2.0 tablespoons garlic,"""11215"""
3569,2.0 tablespoons fresh ginger,"""11216"""
3570,1.0 whole egg,"""01123"""
3571,1.0 tablespoon asian fish sauce,"""06179"""
3572,1.0 tablespoon sugar,"""19335"""
3573,1 teaspoon salt,"""02047"""
3574,1 teaspoon black pepper,"""02030"""
3575,30.0 whole dumpling wrappers,"""18368"""
3576,1 tablespoon canola oil,"""04582"""
3577,1.0 pint soy sauce ,"""16124"""
3578,1.0 whole head garlic,"""11215"""
3579,1.0 whole knob ginger,"""11216"""
3580,1.0 whole onion,"""11282"""
3581,3.75 pounds sirloin tip,"""13954"""
3582,1.0 whole fresh pineapple,"""09266"""
3583,3.0 tablespoons butter,"""01001"""
3584,0.25 cup mayonnaise,"""42138"""
3585,1.0 whole garlic clove,"""11215"""
3586,1 pinch of cayenne pepper,"""02031"""
3587,1 cup bouquetgarni,"""02027"""
3588,3.0 tablespoons olive oil,"""44005"""
3589,1.75 cups fresh fennel bulb ,"""11957"""
3590,1.0 cup leek ,"""11246"""
3591,0.5 cup dry white wine,"""14106"""
3592,0.25 teaspoon saffron,"""02037"""
3593,3.0 cups low-salt chicken broth,"""06970"""
3594,1.5 pounds halibut fillets,"""15036"""
3595,0.5 whole french bread,"""18349"""
3596,1.0 cup brewed irish breakfast tea,"""14544"""
3597,1 tablespoon honey,"""19296"""
3598,3 tablespoon whole milk,"""01077"""
3599,1.0 cup white sugar,"""19335"""
3600,0.5 cup good quality cocoa powder,"""19165"""
3601,4.0 whole ounces unsalted butter,"""01145"""
3602,1.0 cup dark rum,"""14050"""
3603,1.0 cup heavy cream,"""01053"""
3604,1.0 tablespoon vanilla extract,"""02050"""
3605,0.5 cup vegetable oil,"""04513"""
3606,2 tablespoons sugar,"""19335"""
3607,2 teaspoons ground cinnamon,"""02010"""
3608,2.0 whole ripe bananas,"""09040"""
3609,1.0 whole ripe pineapple,"""09266"""
3610,1.0 cup sugar,"""19335"""
3611,1.0 cup amber rum,"""14037"""
3612,1.0 cup heavy cream ,"""01053"""
3613,12 oz coco lopez,"""12115"""
3614,12 oz unsweetened coconut milk,"""12117"""
3615,12 oz water,"""14411"""
3616,2.0 tablespoons lime juice,"""09160"""
3617,2.0 whole spears endive,"""11213"""
3618,1.0 whole radicchio,"""11952"""
3619,0.333333333333 pound baby arugula,"""11959"""
3620,1.0 teaspoon dijon mustard,"""02046"""
3621,3.0 tablespoons red wine vinegar,"""02068"""
3622,3.0 tablespoon extra virgin olive oil,"""04708"""
3623,1 teaspoon salt,"""02047"""
3624,1 teaspoon black pepper,"""02030"""
3625,2 tablespoons parmesan,"""01033"""
3626,3.0 tablespoons olive oil,"""44005"""
3627,3.0 whole apples,"""09503"""
3628,2.0 pounds butternut squash,"""11485"""
3629,1.0 whole clove garlic,"""11215"""
3630,1.0 whole yellow onion,"""11294"""
3631,2.0 tablespoons sage,"""02038"""
3632,0.5 teaspoon ground nutmeg,"""02025"""
3633,1 teaspoon salt,"""02047"""
3634,1 teaspoon black pepper,"""02030"""
3635,8.0 cups chicken stock,"""06172"""
3636,1.0 cup heavy cream,"""01053"""
3637,0.5 cup parmesan,"""01033"""
3638,2.0 tablespoons butter,"""01001"""
3639,2.0 tablespoons olive oil,"""44005"""
3640,1.5 cups white onion,"""11282"""
3641,1.25 pounds carrots,"""11124"""
3642,3.75 cups low-salt chicken broth,"""06970"""
3643,0.75 cup whole apple,"""09503"""
3644,2.0 teaspoons ginger,"""11216"""
3645,4.5 tablespoons apple juice concentrate,"""03166"""
3646,0.25 teaspoon nutmeg,"""02025"""
3647,0.25 teaspoon ground allspice,"""02001"""
3648,1.0 teaspoon kosher salt,"""02047"""
3649,1.0 teaspoon mint,"""02064"""
3650,1.0 tablespoon active dry yeast,"""18375"""
3651,0.75 cup semolina flour,"""20581"""
3652,1.0 cup water,"""14411"""
3653,3.0 cups unbleached all-purpose flour,"""20581"""
3654,1.0 teaspoon salt,"""02047"""
3655,1.0 tablespoon unsalted butter,"""01145"""
3656,0.25 cup graham cracker,"""18173"""
3657,0.75 cup cream cheese,"""01017"""
3658,0.25 tablespoons sugar,"""19335"""
3659,0.25 teaspoon vanilla,"""02050"""
3660,0.25 teaspoon almond extract,"""04529"""
3661,1.0 whole egg,"""01123"""
3662,1.0 cup blueberries,"""09050"""
3663,0.333333333333 cup water,"""14411"""
3664,2.0 tablespoon water,"""14411"""
3665,1 tablespoon lemon juice,"""09152"""
3666,2.0 whole portobello mushrooms,"""11265"""
3667,12 oz frozen spinach,"""11463"""
3668,2.0 whole egg whites,"""01124"""
3669,0.5 cup parmesan,"""01033"""
3670,0.5 teaspoon ground black pepper,"""02030"""
3671,6.0 whole cloves garlic,"""11215"""
3672,1.0 teaspoon salt,"""02047"""
3673,2.0 tablespoons worcestershire sauce,"""06971"""
3674,1.0 pound lean ground turkey breast ,"""05665"""
3675,1.0 tablespoon olive oil,"""44005"""
3676,28 oz canned tomatoes,"""11531"""
3677,2.0 whole submarine sandwich rolls,"""28288"""
3678,1.0 whole pita bread,"""18041"""
3679,4.0 whole red bell peppers,"""11821"""
3680,1.0 teaspoon honey,"""19296"""
3681,1.0 teaspoon dijon mustard,"""02046"""
3682,1.0 tablespoon balsamic vinegar,"""02069"""
3683,2 tablespoons extra virgin olive oil ,"""44005"""
3684,0.5 pound fresh baby spinach ,"""11457"""
3685,3 pound chicken,"""05011"""
3686,1 teaspoon salt,"""02047"""
3687,1 teaspoon black pepper,"""02030"""
3688,0.5 whole red onion,"""11282"""
3689,0.5 whole lemon,"""09150"""
3690,6 whole cloves garlic,"""11215"""
3691,1.0 whole fresh thyme,"""02049"""
3692,1.5 tablespoons extra virgin olive oil,"""04708"""
3693,0.5 pound bacon,"""10123"""
3694,3.0 pounds cremini mushrooms,"""11266"""
3695,8.0 ounces ground beef,"""23572"""
3696,1.0 ounce shredded cheddar,"""01270"""
3697,1.0 ounce cooked bacon,"""10860"""
3698,2.0 tablespoons canola,"""04582"""
3699,1.0 whole hamburger bun,"""28288"""
3700,4.0 cups water,"""14411"""
3701,2.0 cups jasmine rice,"""20051"""
3702,2.0 tablespoons kosher salt,"""02047"""
3703,2.0 tablespoons grapeseed oil,"""04517"""
3704,1.0 whole red onion,"""11282"""
3705,1 tablespoon salt,"""02047"""
3706,1 tablespoon ground pepper,"""02030"""
3707,1 teaspoon black pepper,"""02030"""
3708,5 whole dried ancho chiles,"""11978"""
3709,4.0 cups chicken stock,"""06172"""
3710,0.5 cup blanched whole almonds,"""12062"""
3711,0.5 cup unsalted peanuts,"""16087"""
3712,1.0 tablespoon unsweetened dark cocoa powder,"""19165"""
3713,0.5 teaspoon ground cloves,"""02011"""
3714,3.0 whole cloves garlic,"""11215"""
3715,1.0 whole yellow onion,"""11294"""
3716,0.5 cup raisins,"""09299"""
3717,2.0 pounds pork shoulder,"""10070"""
3718,2.0 tablespoons vegetable oil,"""04513"""
3719,2.0 whole bay leaves,"""02004"""
3720,1 whole cinnamon stick,"""02010"""
3721,12.0 whole flour,"""20581"""
3722,1 cup queso fresco,"""01228"""
3723,1.5 cups flour,"""20581"""
3724,7.0 teaspoons sugar,"""19335"""
3725,8.0 tablespoons unsalted butter,"""01145"""
3726,1.0 cup water,"""14411"""
3727,3.0 whole bananas,"""09040"""
3728,0.5 cup sugar,"""19335"""
3729,0.5 cup cornstarch,"""20027"""
3730,3.0 cups milk,"""01077"""
3731,2.0 whole eggs,"""01123"""
3732,2.0 whole egg yolks,"""01125"""
3733,2.0 teaspoons vanilla extract,"""02050"""
3734,0.75 cup dark brown sugar,"""19334"""
3735,3.0 tablespoons unsalted butter,"""01145"""
3736,1.0 tablespoon bourbon,"""14037"""
3737,2.0 tablespoons butter,"""01001"""
3738,1.0 whole onion,"""11282"""
3739,1.0 tablespoon fresh thyme,"""02049"""
3740,1.0 tablespoon fresh tarragon,"""02041"""
3741,1.0 tablespoon fresh basil,"""02044"""
3742,1.0 cup whipping cream,"""01053"""
3743,0.5 cup vodka,"""14037"""
3744,0.75 pound spaghetti,"""20120"""
3745,0.75 cup parmesan cheese,"""01033"""
3746,2.0 tablespoons walnuts,"""12155"""
3747,0.25 cup extra-virgin olive oil,"""44005"""
3748,0.25 cup parmesan cheese,"""01033"""
3749,1.0 whole garlic clove,"""11215"""
3750,2.0 cups fresh basil leaves ,"""02044"""
3751,8 slices country-style white bread,"""18033"""
3752,1 teaspoon olive oil ,"""44005"""
3753,1 tablespoon citrus tapenade,"""09194"""
3754,6.0 ounces prosciutto,"""10860"""
3755,8 ounces fresh mozzarella cheese,"""01026"""
3756,4.0 tablespoons balsamic vinegar,"""02069"""
3757,3 cups salted pork,"""10165"""
3758,1.0 cup water,"""14411"""
3759,1.0 whole onion,"""11282"""
3760,8.0 whole red potatoes,"""11355"""
3761,4 cups clam juice,"""14187"""
3762,3.0 pounds essex clams,"""15157"""
3763,2.0 tablespoons butter,"""01001"""
3764,1 dash salt,"""02047"""
3765,1 tablespoon black pepper,"""02030"""
3766,1.0 quart cream,"""01049"""
3767,2 tablespoon flour,"""20581"""
3768,3.0 tablespoons extra-virgin olive oil,"""44005"""
3769,1.0 whole onion,"""11282"""
3770,1.0 whole italian frying pepper,"""11821"""
3771,1.0 whole clove garlic,"""11215"""
3772,1.0 pound beef,"""23093"""
3773,0.25 cup parsley,"""11297"""
3774,1 teaspoon salt,"""02047"""
3775,1 teaspoon black pepper,"""02030"""
3776,4.0 whole whole wheat pocketless pitas,"""18042"""
3777,2.0 cups shredded italian cheese blend,"""01251"""
3778,0.5 cup hot cherry peppers,"""peppers"""
3779,8.0 tablespoons unsalted butter,"""01145"""
3780,11.5 tablespoons sugar,"""19335"""
3781,3.0 tablespoons cornstarch,"""20027"""
3782,4.0 whole egg yolks,"""01125"""
3783,2.0 cups fromage blanc,"""01287"""
3784,6.0 whole egg whites,"""01124"""
3785,1 pinch of salt,"""02047"""
3786,0.75 cup water,"""14411"""
3787,1.5 cups granulated sugar,"""19335"""
3788,16 ounce cranberries,"""09078"""
3789,4.0 whole sized bosc pears,"""09252"""
3790,0.5 teaspoon fresh ginger,"""11216"""
3791,1.0 teaspoon cornstarch,"""20027"""
3792,4 cups whipped cream,"""01054"""
3793,2.5 cups all-purpose flour,"""20581"""
3794,1.0 teaspoon salt,"""02047"""
3795,1.0 teaspoon granulated sugar,"""19335"""
3796,1.5 cup unsalted butter,"""01145"""
3797,0.75 cup water,"""14411"""
3798,0.5 cup all-purpose flour,"""20581"""
3799,0.333333333333 cup brown sugar,"""19334"""
3800,3.0 tablespoons granulated sugar,"""19335"""
3801,1.0 teaspoon salt,"""02047"""
3802,1.0 tablespoon cinnamon,"""02010"""
3803,0.5 cup unsalted butter,"""01145"""
3804,0.25 cup rolled oats,"""08120"""
3805,4.0 cups chicken stock,"""06172"""
3806,0.5 cup carrots,"""11124"""
3807,0.5 cup celery,"""11143"""
3808,0.5 cup onion,"""11282"""
3809,3.0 whole eggs,"""01123"""
3810,1.0 teaspoon all-purpose flour,"""20581"""
3811,2.0 teaspoons olive oil,"""44005"""
3812,3.0 whole mushrooms,"""11260"""
3813,0.25 whole romaine lettuce,"""11251"""
3814,16.0 ounces strawberries,"""09316"""
3815,.25 whole lemon ,"""09150"""
3816,4.0 sprigs mint,"""02064"""
3817,4.0 ounces agave syrup,"""19912"""
3818,6.0 ounces tequila,"""14037"""
3819,1.5 pounds rockfish fillet,"""15070"""
3820,0.5 pound pike fillet,"""15062"""
3821,0.5 pound flounder fillet,"""15028"""
3822,8.0 cups fish stock preferably homemade,"""06174"""
3823,0.75 cup matzo meal,"""18217"""
3824,4.0 whole eggs lightly beaten,"""01123"""
3825,2.0 tablespoons sugar,"""19335"""
3826,1.0 tablespoon fresh thyme leaves,"""02049"""
3827,2.0 tablespoons fresh parsley,"""11297"""
3828,2.5 teaspoons salt,"""02047"""
3829,0.125 teaspoon ground black pepper,"""02030"""
3830,0.5 cup vegetable stock,"""06615"""
3831,3.75 pounds pumpkin,"""11422"""
3832,1.0 whole acorn squash,"""11482"""
3833,6.0 tablespoons unsalted butter,"""01145"""
3834,0.5 teaspoon kosher salt,"""02047"""
3835,0.125 teaspoon ground white pepper,"""02032"""
3836,0.25 teaspoon ground nutmeg,"""02025"""
3837,1.0 whole white onion,"""11282"""
3838,0.25 teaspoon ground ginger,"""02021"""
3839,0.125 teaspoon ground cardamom,"""02006"""
3840,4.0 cups chicken stock,"""06172"""
3841,1.0 cup heavy cream,"""01053"""
3842,1.0 sprig fresh rosemary,"""02063"""
3843,1.0 tablespoon cranberry relish ,"""09078"""
3844,0.5 sprinkle spiced caramelized pecans ,"""12142"""
3845,4.0 tablespoons pumpkin seed oil,"""04517"""
3846,2.0 cups fresh cranberries,"""09078"""
3847,0.5 cup sugar,"""19335"""
3848,0.5 cup verjus,"""14037"""
3849,3.0 cups peanut oil,"""44005"""
3850,2.0 cups pecan halves,"""12142"""
3851,1.0 teaspoon kosher salt,"""02047"""
3852,0.5 teaspoon cayenne pepper,"""02031"""
3853,1.0 cup confectioners sugar,"""19335"""
3854,2.0 cups heavy cream,"""01053"""
3855,1.0 tablespoon black cardamom seeds,"""02006"""
3856,1.0 pound fusilli pasta,"""20420"""
3857,0.25 cup olive oil,"""44005"""
3858,1.0 whole garlic clove,"""11215"""
3859,1.0 whole bag fresh spinach roughly,"""11457"""
3860,8.0 ounces cherry tomatoes halved,"""11529"""
3861,1.0 cup asiago,"""01033"""
3862,0.5 cup parmesan,"""01033"""
3863,1.0 teaspoon salt,"""02047"""
3864,0.75 teaspoon ground black pepper,"""02030"""
3865,1.0 whole purple onion skin,"""11282"""
3866,1.0 whole red bell pepper stemmed,"""11821"""
3867,2.0 whole jalapenos stemmed,"""11979"""
3868,2.0 tablespoons extra-virgin olive oil,"""44005"""
3869,1 teaspoon salt,"""02047"""
3870,1 teaspoon black pepper,"""02030"""
3871,1 teaspoon black pepper,"""02030"""
3872,4.0 whole ripe fresh freestone peaches halved,"""09236"""
3873,4.0 tablespoons dijon mustard,"""02046"""
3874,3.0 whole cloves garlic,"""11215"""
3875,1 pinch red pepper,"""11821"""
3876,2.0 sprigs rosemary,"""02063"""
3877,1.0 whole lemon juice,"""09152"""
3878,2.0 whole hanger steaks,"""23281"""
3879,1 tablespoon kosher salt,"""02047"""
3880,0.5 cup extra virgin olive oil,"""04708"""
3881,10.0 ounces cream cheese,"""01017"""
3882,6.0 ounces peanut butter,"""16167"""
3883,1.0 cup granulated sugar,"""19335"""
3884,1.0 teaspoon vanilla extract,"""02050"""
3885,2.0 whole eggs,"""01123"""
3886,2.25 cups cake flour,"""20084"""
3887,0.5 cup cocoa powder,"""19165"""
3888,1.5 teaspoons baking soda,"""18372"""
3889,1.0 teaspoon salt,"""02047"""
3890,1.25 cups granulated sugar,"""19335"""
3891,0.5 cup vegetable oil,"""04513"""
3892,1.0 teaspoon vanilla extract,"""02050"""
3893,3.0 whole eggs separated,"""01123"""
3894,1.33333333333 cups whole milk,"""01077"""
3895,4.0 cups heavy cream,"""01053"""
3896,0.5 cup confectioners sugar,"""19335"""
3897,1.0 teaspoon vanilla extract,"""02050"""
3898,14.0 ounces canned artichoke hearts ,"""11007"""
3899,9.0 ounces frozen spinach,"""11463"""
3900,0.5 cup red onion,"""11282"""
3901,0.5 cup red bell pepper,"""11821"""
3902,0.333333333333 cup parmesan,"""01033"""
3903,2.0 tablespoons pesto sauce,"""06626"""
3904,2.0 tablespoons mayonnaise,"""42138"""
3905,1.0 teaspoon black pepper,"""02030"""
3906,0.5 teaspoon salt,"""02047"""
3907,12 oz tortilla chips,"""25028"""
3908,12 oz pita chips,"""25037"""
3909,1.0 whole container fat free vanilla yogurt,"""01295"""
3910,0.25 cup mango,"""09176"""
3911,2.0 tablespoons fat-free whipped topping,"""42135"""
3912,1.0 teaspoon shredded sweetened coconut toasted if desired,"""12179"""
3913,2.0 tablespoons olive oil,"""44005"""
3914,0.5 whole onion,"""11282"""
3915,1 teaspoon salt,"""02047"""
3916,1 teaspoon black pepper,"""02030"""
3917,1 teaspoon black pepper,"""02030"""
3918,1 tablespoon ground white pepper,"""02032"""
3919,1.5 cups jasmine rice,"""20051"""
3920,1.0 whole bay leaf,"""02004"""
3921,4.0 tablespoons unsalted butter,"""01145"""
3922,1 tablespoon salt,"""02047"""
3923,1.0 tablespoons unsalted butter,"""01145"""
3924,0.333333333333 cup heavy cream,"""01053"""
3925,0.25 cup fresh lemon juice,"""09152"""
3926,1 teaspoon salt,"""02047"""
3927,1 teaspoon black pepper,"""02030"""
3928,1 teaspoon black pepper,"""02030"""
3929,1 tablespoon ground white pepper,"""02032"""
3930,1.0 cup all-purpose flour,"""20581"""
3931,4.0 whole skinless dover,"""15028"""
3932,4.0 tablespoons clarified butter,"""01145"""
3933,2.0 tablespoons fresh parsley,"""11297"""
3934,2.0 whole lemons,"""09152"""
3935,35.0 whole peperoncini,"""31034"""
3936,8.0 ounces cream cheese,"""01017"""
3937,0.5 stick unsalted butter,"""01145"""
3938,0.25 cup fresh dill,"""02045"""
3939,3.0 tablespoons shallot,"""11677"""
3940,1.0 tablespoon fresh lemon juice,"""09152"""
3941,6.0 ounces smoked salmon,"""15077"""
3942,2.0 whole dried chiles de arbol,"""11962"""
3943,2.0 whole dried guajillo chiles,"""11962"""
3944,2.0 whole lemongrass stalks,"""11972"""
3945,3.0 tablespoons peanuts,"""16087"""
3946,2.0 whole galangal,"""11216"""
3947,6.0 whole kaffir lemons,"""11972"""
3948,1.0 whole shallot,"""11677"""
3949,4.0 whole garlic cloves,"""11215"""
3950,2.0 whole serrano chiles,"""11977"""
3951,1.5 teaspoons kosher salt,"""02047"""
3952,0.5 teaspoon ground cumin,"""02014"""
3953,0.5 teaspoons ground pepper,"""02030"""
3954,8.0 cups all purpose flour,"""20581"""
3955,4.0 cups sugar,"""19335"""
3956,4.0 teaspoons baking powder,"""18371"""
3957,3.0 teaspoons salt,"""02047"""
3958,2.66666666667 cups crisco® butter shortening,"""04615"""
3959,1.0 tablespoon olive oil,"""44005"""
3960,1.0 whole red bell pepper,"""11821"""
3961,1.0 whole green bell pepper,"""11333"""
3962,1.0 whole onion,"""11282"""
3963,0.25 pound chick peas,"""16056"""
3964,0.25 pound beef,"""23093"""
3965,0.25 pound chicken breast,"""05057"""
3966,0.25 pound chorizo sausage,"""07019"""
3967,4.0 cups vegetable broth,"""06700"""
3968,1 pinch saffron,"""02037"""
3969,2.0 cups carnaroli rice,"""20051"""
3970,1.0 whole lemon juiced,"""09152"""
3971,1.0 whole loaf rosemary focaccia bread,"""18973"""
3972,2.0 tablespoons olive oil,"""44005"""
3973,3 whole red onions,"""11282"""
3974,0.333333333333 cup dry red wine,"""14096"""
3975,0.333333333333 cup red wine vinegar,"""02068"""
3976,0.25 cup packed light brown sugar,"""19334"""
3977,0.25 cup honey,"""19296"""
3978,1.0 whole piece beef tenderloin,"""13925"""
3979,2.0 cups all-purpose flour,"""20581"""
3980,1.5 teaspoons salt,"""02047"""
3981,1.5 sticks cold unsalted butter cut into bits,"""01145"""
3982,6.0 tablespoons ice water,"""14411"""
3983,2.25 cups whole milk,"""01077"""
3984,6.0 whole egg yolks,"""01125"""
3985,0.666666666667 cup sugar,"""19335"""
3986,0.333333333333 cup cornstarch,"""20027"""
3987,1 whole vanilla bean,"""02050"""
3988,2.0 teaspoons fresh thyme,"""02049"""
3989,1.0 teaspoon whole fennel seeds,"""02018"""
3990,1 teaspoon salt,"""02047"""
3991,1 teaspoon black pepper,"""02030"""
3992,0.333333333333 cup olive oil,"""44005"""
3993,1.0 whole lemon,"""09150"""
3994,1.0 whole yellow onion,"""11294"""
3995,2.0 whole garlic cloves,"""11215"""
3996,4 pounds chicken,"""05011"""
3997,0.5 cup dry white wine such as pinot grigio,"""14113"""
3998,1.0 whole lemon juiced,"""09152"""
3999,12 oz tomatoes,"""11529"""
4000,0.5 cup onion ,"""11282"""
4001,4.0 whole chipotle chiles,"""11819"""
4002,0.25 teaspoon salt,"""02047"""
4003,3.0 whole corn tortillas halved,"""18363"""
4004,0.75 cup broccoli ,"""11090"""
4005,1.0 cup lime shrimp,"""15270"""
4006,1.0 cup shredded fat-free cheddar ,"""01168"""
4007,4.0 whole green apples,"""09502"""
4008,2.0 tablespoons butter,"""01001"""
4009,3.0 tablespoons brown sugar,"""19334"""
4010,0.5 teaspoon ground cinnamon,"""02010"""
4011,1 pinch ground cloves,"""02011"""
4012,1.0 pint vanilla ice cream,"""19095"""
4013,1.0 whole spray container whipped cream,"""01054"""
4014,1 teaspoon nutmeg,"""02025"""
4015,2.0 cups rolled oats,"""08120"""
4016,4.0 whole egg whites,"""01124"""
4017,1.0 teaspoon cinnamon,"""02010"""
4018,2 tablespoons vegetable oil,"""04513"""
4019,0.5 cup unsweetened applesauce,"""09019"""
4020,0.5 cup strawberries,"""09316"""
4021,3.0 cups cake flour ,"""20084"""
4022,2.0 teaspoons baking powder,"""18371"""
4023,1.0 teaspoons baking soda,"""18372"""
4024,0.5 teaspoon salt,"""02047"""
4025,2.0 sticks unsalted butter softened,"""01145"""
4026,2.0 cups granulated sugar,"""19335"""
4027,2.0 teaspoons pure vanilla extract,"""02050"""
4028,3.0 whole eggs warmed in shell in warm water minutes,"""01125"""
4029,2.0 cups well-stirred plain whole-milk yogurt atroom temperature 30 minutes,"""01116"""
4030,2.0 cups fresh red currants stemmed,"""09084"""
4031,4.0 cups fresh raspberries divided,"""09302"""
4032,0.666666666667 cup granulated sugar room temperature 30 minutes,"""19335"""
4033,3.0 cups confectioners sugar,"""19335"""
4034,3.0 tablespoons light corn syrup,"""19350"""
4035,0.5 cup heavy cream,"""01053"""
4036,0.5 teaspoon pure vanilla extract,"""02050"""
4037,2.0 whole mangoes,"""09176"""
4038,0.333333333333 cup dark brown sugar,"""19334"""
4039,2.0 teaspoons worcestershire sauce,"""06971"""
4040,1.0 tablespoon tamarind paste ,"""09437"""
4041,1.0 tablespoon vegetable oil,"""04513"""
4042,0.5 teaspoon red pepper flakes,"""02031"""
4043,2.0 whole garlic cloves,"""11215"""
4044,2.0 pounds chicken wings,"""05100"""
4045,1 teaspoon salt,"""02047"""
4046,1 teaspoon black pepper,"""02030"""
4047,2 tablespoons cooking spray,"""04679"""
4048,1.0 tablespoon shallot,"""11677"""
4049,1.0 tablespoon fresh lime juice,"""09160"""
4050,1.5 tablespoons olive oil,"""44005"""
4051,0.25 teaspoon sugar,"""19335"""
4052,0.25 teaspoon salt,"""02047"""
4053,1.0 whole pink grapefruit,"""09111"""
4054,0.25 pound mustard greens,"""11270"""
4055,0.25 cup dried dates,"""09421"""
4056,2 tablespoon pomegranate seeds,"""09286"""
4057,1.5 pounds whole chestnuts,"""12093"""
4058,1.0 teaspoon vegetable oil,"""04513"""
4059,0.25 cup water,"""14411"""
4060,1.0 pound jerusalem artichokes,"""11226"""
4061,0.5 whole lemon juice,"""09152"""
4062,4.0 tablespoons butter,"""01001"""
4063,1 whole leek,"""11246"""
4064,1 whole carrot,"""11124"""
4065,3.0 cups chicken stock,"""06172"""
4066,1 teaspoon salt,"""02047"""
4067,1 teaspoon black pepper,"""02030"""
4068,1 teaspoon black pepper,"""02030"""
4069,0.5 cup heavy cream,"""01053"""
4070,0.5 tablespoon nutmeg,"""02025"""
4071,32.0 ounces white chocolate tempered,"""19087"""
4072,8.0 ounces cocoa butter melted,"""04501"""
4073,8.0 ounces bittersweet chocolate tempered,"""19080"""
4074,1.5 whole lbs potatoes such as red,"""11352"""
4075,3.5 cups vegetable stock ,"""06615"""
4076,1 teaspoon salt,"""02047"""
4077,1 teaspoon black pepper,"""02030"""
4078,1 teaspoon black pepper,"""02030"""
4079,1.0 tablespoon olive oil,"""44005"""
4080,1.75 whole lbs fresh mushrooms roughly,"""11260"""
4081,4.0 whole organic free range eggs,"""01123"""
4082,0.5 cup fresh flat-leaf parsley,"""11297"""
4083,6.0 whole egg whites,"""01124"""
4084,0.5 cup chocolate-hazelnut spread,"""19125"""
4085,1.0 cup unsweetened almond milk,"""14091"""
4086,0.125 teaspoon sea salt,"""02047"""
4087,4 slices focaccia,"""18973"""
4088,2.0 teaspoons olive oil,"""44005"""
4089,6.0 whole egg whites,"""01124"""
4090,1.33333333333 cups sugar,"""19335"""
4091,0.666666666667 cup water,"""14411"""
4092,0.5 tablespoon nonstick cooking spray,"""04679"""
4093,0.666666666667 cup hazelnuts,"""12120"""
4094,3.0 tablespoons olive oil,"""44005"""
4095,1.0 whole bunch green onions,"""11291"""
4096,8.0 whole eggs,"""01123"""
4097,6.0 ounces ricotta salata,"""01036"""
4098,0.5 cup fresh italian parsley,"""11297"""
4099,2.0 tablespoons milk,"""01077"""
4100,0.5 teaspoon salt,"""02047"""
4101,0.5 teaspoon pepper,"""02030"""
4102,6.0 whole eggs,"""01123"""
4103,2 cans tuna,"""15124"""
4104,0.25 cup milk,"""01077"""
4105,3.0 tablespoons parsley,"""11297"""
4106,1.0 tablespoon anchovy paste,"""15002"""
4107,0.5 teaspoon kosher salt,"""02047"""
4108,0.5 teaspoon ground black pepper,"""02030"""
4109,1.0 tablespoon extra virgin olive oil,"""04708"""
4110,1.0 tablespoon unsalted butter,"""01145"""
4111,2.0 whole roma tomatoes,"""11529"""
4112,1.0 cup mascarpone,"""01017"""
4113,0.5 teaspoon kosher salt,"""02047"""
4114,0.666666666667 cup fresh parmesan,"""01033"""
4115,0.75 pound ground turkey,"""05665"""
4116,0.5 whole onion,"""11282"""
4117,0.5 cup fresh bread crumbs,"""18079"""
4118,0.5 cup spinach,"""11457"""
4119,1.0 whole egg,"""01123"""
4120,1 tablespoon coarse salt,"""02047"""
4121,2.0 tablespoons extra virgin olive oil,"""04708"""
4122,8.0 ounces star-shape pasta ,"""20120"""
4123,4.0 cups chicken stock,"""06172"""
4124,1.5 cups brown raisins,"""09299"""
4125,2.25 cups all purpose flour,"""20581"""
4126,1.0 teaspoon baking powder,"""18371"""
4127,0.5 teaspoon salt,"""02047"""
4128,1.25 cups unsalted butter,"""01145"""
4129,1.66666666667 cups sugar,"""19335"""
4130,5.0 whole eggs,"""01123"""
4131,7.0 tablespoons dark rum,"""14050"""
4132,2.0 teaspoons vanilla extract,"""02050"""
4133,0.5 cup powdered sugar,"""19336"""
